dataset,feature,type,missing_count,missing_pct,unique_count,min,max,mean,top_value,top_value_freq
A,model_safe_index,int64,0,0.0,2118,0.0,2548.0,1274.5750708215298,,
A,label,object,0,0.0,2,,,,MALICIOUS,2114.0
A,byte_count_asymmetry,float64,0,0.0,515,-0.9961420585646089,1.0,0.5549605118801534,,
A,fwd_packet_length_mean,float64,0,0.0,359,40.0,1490.7299270072992,151.04586271299718,,
A,forward_bytes,int64,0,0.0,377,40.0,15073672.0,27525.572710103872,,
A,number_of_bursts,int64,0,0.0,20,0.0,305.0,1.36685552407932,,
A,mean_burst_size,float64,737,0.348,144,1.0,7264.0,42.72567432593189,,
A,reverse_bytes,int64,0,0.0,402,0.0,26489837.0,49687.45042492918,,
A,forward_packet_ratio,float64,0,0.0,169,0.061149612719119444,1.0,0.7846731310135749,,
A,packet_length_std,float64,0,0.0,491,0.0,3907.4134614387276,123.9304551636084,,
A,fwd_iat_p25,float64,922,0.4353,997,0.0,115.84671092033386,0.9174418727988782,,
A,packet_length_p95,float64,0,0.0,281,40.0,7240.0,325.6699952785647,,
A,rev_iat_p90,float64,1423,0.6719,695,7.867813110351562e-06,89.90707683563232,1.5980116462021423,,
A,packet_length_min,float64,0,0.0,28,40.0,229.0,43.00661000944287,,
A,maximum_idle_gap,float64,1796,0.848,322,1.0002431869506836,119.9957959651947,27.659070424411606,,
A,idle_gap_count,int64,0,0.0,19,0.0,304.0,0.7148253068932956,,
A,rev_iat_p25,float64,1423,0.6719,633,0.0,89.90707683563232,0.6236629581279892,,
A,fwd_iat_median,float64,922,0.4353,1003,0.0,115.84671092033386,1.0303373219177476,,
A,fwd_packet_length_p90,float64,0,0.0,237,40.0,1500.0,209.72492917847026,,
A,rev_iat_p75,float64,1423,0.6719,691,5.9604644775390625e-06,89.90707683563232,1.0936369628357372,,
A,rev_iat_std,float64,1423,0.6719,570,0.0,44.493194125516915,0.8599496882494034,,
A,packet_length_max,float64,0,0.0,177,40.0,33160.0,365.31255901794145,,
A,reverse_packets,int64,0,0.0,94,0.0,19064.0,52.02691218130312,,
A,iat_median,float64,737,0.348,1211,0.0,119.9957959651947,0.9205405062993828,,
A,rev_packet_length_std,float64,1234,0.5826,342,0.0,4725.269997328005,205.0493672107091,,
A,rev_packet_length_p95,float64,1234,0.5826,244,40.0,10634.6,529.4866515837103,,
A,rev_iat_min,float64,1423,0.6719,341,0.0,89.90707683563232,0.4613834710429898,,
A,fwd_packet_length_max,float64,0,0.0,174,40.0,1500.0,251.14353163361662,,
A,iat_std,float64,737,0.348,731,0.0,42.35618972344418,1.3219336047321886,,
A,fwd_iat_p75,float64,922,0.4353,1079,0.0,115.84671092033386,1.2216197533850686,,
A,corpus_sample_id,object,0,0.0,11,,,,DS008-C001,1185.0
A,packet_length_p90,float64,0,0.0,306,40.0,4360.0,301.0010859301227,,
A,rev_iat_max,float64,1423,0.6719,694,7.867813110351562e-06,112.09457302093506,3.2542507103021197,,
A,bytes_per_second,float64,771,0.364,1276,0.6666900232338502,12489009.671641791,114075.12035688276,,
A,malware_family,object,0,0.0,11,,,,XLoader,1185.0
A,rev_packet_length_mean,float64,1234,0.5826,404,40.0,3124.233009708738,258.33229847756775,,
A,fwd_packet_length_p25,float64,0,0.0,67,40.0,1500.0,117.69688385269122,,
A,maximum_burst_size,float64,737,0.348,111,1.0,20713.0,109.19261404779145,,
A,rev_packet_length_min,float64,1234,0.5826,82,40.0,378.0,60.25452488687783,,
A,reverse_byte_ratio,float64,0,0.0,515,0.0,0.9980710292823045,0.22251974405992328,,
A,packet_length_mean,float64,0,0.0,500,40.0,1846.7966101694915,154.30079555252914,,
A,fwd_iat_p95,float64,922,0.4353,1090,0.0,115.84671092033386,4.028561497302754,,
A,rev_packet_length_p75,float64,1234,0.5826,228,40.0,4360.0,342.6496040723982,,
A,fwd_iat_min,float64,922,0.4353,868,0.0,115.84671092033386,0.9008886339672433,,
A,iat_mean,float64,737,0.348,1274,0.0,119.9957959651947,1.3476807779251114,,
A,rev_iat_p95,float64,1423,0.6719,695,7.867813110351562e-06,90.08146800994871,2.1909145428979993,,
A,rev_packet_length_max,float64,1234,0.5826,165,40.0,33160.0,660.4932126696832,,
A,total_packets,int64,0,0.0,118,1.0,29056.0,85.86449480642115,,
A,rev_iat_mean,float64,1423,0.6719,695,7.867813110351562e-06,89.90707683563232,1.0442245041978822,,
A,iat_min,float64,737,0.348,792,0.0,119.9957959651947,0.8988115495741151,,
A,iat_p90,float64,737,0.348,1273,0.0,119.9957959651947,1.5435773591214899,,
A,rev_packet_length_p90,float64,1234,0.5826,238,40.0,7109.400000000002,479.2070135746606,,
A,fwd_iat_max,float64,922,0.4353,1088,0.0,118.11739492416382,6.487695251220844,,
A,iat_p75,float64,737,0.348,1264,0.0,119.9957959651947,1.1659504731524948,,
A,iat_max,float64,737,0.348,1270,0.0,119.9957959651947,6.551726877473559,,
A,packet_length_median,float64,0,0.0,173,40.0,1500.0,130.54532577903683,,
A,fwd_packet_length_min,float64,0,0.0,34,40.0,1436.0,46.28989612842304,,
A,packets_per_second,float64,771,0.364,1273,0.016667250580846255,86480.49484536082,1468.500262943424,,
A,forward_packets,int64,0,0.0,76,1.0,10159.0,33.83758262511804,,
A,rev_packet_length_p25,float64,1234,0.5826,138,40.0,1500.0,123.0554298642534,,
A,fwd_iat_mean,float64,922,0.4353,1090,0.0,115.84671092033386,1.614618950815912,,
A,iat_p95,float64,737,0.348,1274,0.0,119.9957959651947,2.4351443847567147,,
A,fwd_packet_length_std,float64,0,0.0,339,0.0,714.9069247254555,67.96335982488274,,
A,fwd_packet_length_p75,float64,0,0.0,185,40.0,1500.0,174.25236071765818,,
A,packet_length_p25,float64,0,0.0,117,40.0,1500.0,56.13668555240793,,
A,fwd_packet_length_p95,float64,0,0.0,249,40.0,1500.0,227.32334749763928,,
A,flow_duration,float64,0,0.0,1273,0.0,10486.734508991241,18.69095681184187,,
A,iat_p25,float64,737,0.348,1170,0.0,119.9957959651947,0.9063241327698036,,
A,reverse_packet_ratio,float64,0,0.0,169,0.0,0.9388503872808805,0.21532686898642514,,
A,fwd_iat_std,float64,922,0.4353,614,0.0,41.32669274211618,1.6679076855579575,,
A,fwd_packet_length_median,float64,0,0.0,83,40.0,1500.0,130.52856468366383,,
A,fwd_iat_p90,float64,922,0.4353,1089,0.0,115.84671092033386,2.391892597208852,,
A,rev_packet_length_median,float64,1234,0.5826,166,40.0,1500.0,195.3806561085973,,
A,total_bytes,int64,0,0.0,500,40.0,26975724.0,77213.02313503304,,
A,packet_length_p75,float64,0,0.0,291,40.0,1500.0,223.02065627950898,,
A,forward_byte_ratio,float64,0,0.0,515,0.0019289707176955262,1.0,0.7774802559400767,,
A,packet_count_asymmetry,float64,0,0.0,169,-0.8777007745617611,1.0,0.5693462620271496,,
A,rev_iat_median,float64,1423,0.6719,655,1.9073486328125e-06,89.90707683563232,0.7806658573287855,,
A,tls_version,float64,1954,0.9226,2,1.2,1.3,1.245731707317073,,
A,clienthello_present,bool,0,0.0,2,0.0,1.0,0.07743153918791312,False,1954.0
